2022-07-24 09:57:40,276 INFO  [main] com.greenrent.GreenRentApplicationTests:Starting GreenRentApplicationTests using Java 17.0.2 on DESKTOP-1U063IB with PID 19392 (started by Furkan in C:\Users\Furkan\Documents\workspace-greenrent\GreenRent)
2022-07-24 09:57:40,286 DEBUG [main] com.greenrent.GreenRentApplicationTests:Running with Spring Boot v2.6.9, Spring v5.3.21
2022-07-24 09:57:40,287 INFO  [main] com.greenrent.GreenRentApplicationTests:No active profile set, falling back to 1 default profile: "default"
2022-07-24 09:57:42,255 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-07-24 09:57:42,402 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 132 ms. Found 6 JPA repository interfaces.
2022-07-24 09:57:43,529 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
2022-07-24 09:57:43,622 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.9.Final
2022-07-24 09:57:43,942 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-07-24 09:57:44,282 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
2022-07-24 09:57:44,808 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
2022-07-24 09:57:44,839 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-07-24 09:57:46,330 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-07-24 09:57:46,342 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 09:57:48,040 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-07-24 09:57:48,600 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 09:57:48,602 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/v3/api-docs/**']
2022-07-24 09:57:48,603 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 09:57:48,604 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='swagger-ui.html']
2022-07-24 09:57:48,604 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 09:57:48,604 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/swagger-ui/**']
2022-07-24 09:57:48,604 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 09:57:48,604 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/']
2022-07-24 09:57:48,604 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='index.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 09:57:48,605 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2022-07-24 09:57:48,605 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 09:57:48,605 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2022-07-24 09:57:48,735 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3f8a44a4, org.springframework.security.web.context.SecurityContextPersistenceFilter@2530baf6, org.springframework.security.web.header.HeaderWriterFilter@260043d, org.springframework.security.web.authentication.logout.LogoutFilter@6fd07a56, com.greenrent.security.jwt.AuthTokenFilter@175c26ff, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6fc1a1d5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@218fc40d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@40625ac6, org.springframework.security.web.session.SessionManagementFilter@79e28671, org.springframework.security.web.access.ExceptionTranslationFilter@42d96745, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@44a7661d]
2022-07-24 09:57:51,647 INFO  [main] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 1 endpoint(s) beneath base path '/actuator'
2022-07-24 09:57:51,759 INFO  [main] com.greenrent.GreenRentApplicationTests:Started GreenRentApplicationTests in 12.11 seconds (JVM running for 13.624)
2022-07-24 09:57:52,256 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 09:57:52,259 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
2022-07-24 09:57:52,264 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
2022-07-24 10:31:06,637 INFO  [main] com.greenrent.GreenRentApplicationTests:Starting GreenRentApplicationTests using Java 17.0.2 on DESKTOP-1U063IB with PID 9268 (started by Furkan in C:\Users\Furkan\Documents\workspace-greenrent\GreenRent)
2022-07-24 10:31:06,642 DEBUG [main] com.greenrent.GreenRentApplicationTests:Running with Spring Boot v2.6.9, Spring v5.3.21
2022-07-24 10:31:06,644 INFO  [main] com.greenrent.GreenRentApplicationTests:No active profile set, falling back to 1 default profile: "default"
2022-07-24 10:31:08,617 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
